year,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name
2024,32.1156339105,-116.0025100319,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.149100883,-116.1318799443,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1289296982,-116.0138127124,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1317011809,-116.1862328125,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.0149183951,-116.0206929251,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1745729414,-116.1177206474,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1313938494,-116.0084765267,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.1241924592,-116.1007654566,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,31.960825017,-116.1076513515,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.7109379848,-116.6460307926,San Diego,California,United States,Anaxyrus californicus
2024,34.58608324,-119.0972562671,Ventura,California,United States,Anaxyrus californicus
2024,34.4395395562,-119.102722465,Ventura,California,United States,Anaxyrus californicus
2024,34.4789449615,-119.1000453093,Ventura,California,United States,Anaxyrus californicus
2024,34.5253303841,-119.0876136439,Ventura,California,United States,Anaxyrus californicus
2024,34.4009616469,-119.0338199386,Ventura,California,United States,Anaxyrus californicus
2024,33.5803744659,-116.8855117745,Riverside,California,United States,Anaxyrus californicus
2024,32.0765222222,-116.0605472222,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,34.4178830915,-119.0927073712,Ventura,California,United States,Anaxyrus californicus
2024,33.4803335769,-117.4497719974,Orange,California,United States,Anaxyrus californicus
2024,32.0328370211,-116.63086541,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.0328370211,-116.63086541,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,32.0328370211,-116.63086541,"MUNICIPIO ENSENADA, BC, MX",Baja California,Mexico,Anaxyrus californicus
2024,34.321847326,-118.1571723586,Los Angeles,California,United States,Anaxyrus californicus
2024,33.2351367375,-116.7638453492,San Diego,California,United States,Anaxyrus californicus
2023,33.2455252097,-117.4801126812,San Diego,California,United States,Anaxyrus californicus
2024,33.4452708721,-116.8345040365,Riverside,California,United States,Anaxyrus californicus
2024,33.5243121612,-116.8336747228,Riverside,California,United States,Anaxyrus californicus
2024,33.5218461227,-116.9405880343,Riverside,California,United States,Anaxyrus californicus
2024,34.4793618807,-119.0543422156,Ventura,California,United States,Anaxyrus californicus
